webportal
         588893 function calls (577349 primitive calls) in 0.671 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:283(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:286(c_wchar)
        2    0.001    0.000    0.033    0.016 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:324(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:345(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:347(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:355(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:384(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:391(__init__)
        2    0.004    0.002    0.076    0.038 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:424(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:425(__init__)
        2    0.001    0.001    0.007    0.004 __init__.py:45(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:489(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:49(check_compatibility)
        1    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:490(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:503(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:545(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:582(Filterer)
       10    0.000    0.000    0.000    0.000 __init__.py:587(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:653(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:663(Handler)
        2    0.000    0.000    0.000    0.000 __init__.py:672(__init__)
        1    0.001    0.001    0.016    0.016 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:74(LazyImporter)
        2    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
       19    0.000    0.000    0.000    0.000 __init__.py:75(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:827(StreamHandler)
        1    0.001    0.001    0.002    0.002 __init__.py:88(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:898(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:970(PlaceHolder)
        2    0.000    0.000    0.000    0.000 __init__.py:976(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:983(append)
        1    0.000    0.000    0.005    0.005 __init__.py:99(<module>)
        1    0.000    0.000    0.000    0.000 __version__.py:5(<module>)
        2    0.000    0.000    0.000    0.000 _abcoll.py:548(update)
        3    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:14(is_appengine_sandbox)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:18(is_local_appengine)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:23(is_prod_appengine)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:29(is_prod_appengine_mvms)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _appengine_environ.py:8(is_appengine)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:102(HTTPHeaderDict)
        1    0.000    0.000    0.000    0.000 _collections.py:28(RecentlyUsedContainer)
        1    0.000    0.000    0.000    0.000 _datasource.py:138(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:162(__init__)
        1    0.000    0.000    0.000    0.000 _datasource.py:265(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:621(Repository)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:33(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:45(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:55(_NoValueType)
        1    0.000    0.000    0.000    0.000 _globals.py:63(__new__)
        9    0.000    0.000    0.000    0.000 _globals.py:73(__repr__)
